"species","genus","depth_position","source","DepthPrefMin","DepthPrefMax","SpeciesID","SpecCode"
"apristurus microps","apristurus","benthic","fishbase",1155,1515,"Fis-23005",775
"apristurus platyrhynchus","apristurus","pelagic","fishbase",1220,2072,"Fis-23006",778
"apristurus saldanha","apristurus","benthic","fishbase",482,577,"Fis-23008",781
"asymbolus analis","asymbolus","reef","fishbase",10,60,"Fis-23028",788
"asymbolus vincenti","asymbolus","reef","fishbase",102,305,"Fis-23029",789
"atelomycterus macleayi","atelomycterus","reef","fishbase",0,2,"Fis-29298",791
"cephaloscyllium laticeps","cephaloscyllium","benthic","fishbase",25,105,"Fis-23082",798
"cephalurus cephalus","cephalurus","benthic","fishbase",250,495,"Fis-23086",803
"figaro boardmani","figaro","benthic","fishbase",213,436,"Fis-6652",805
"galeus eastmani","galeus","benthic","fishbase",749,1726,"Fis-23132",806
"galeus polli","galeus","benthic","fishbase",300,500,"Fis-29400",811
"halaelurus boesemani","halaelurus","benthic","fishbase",60,138,"Fis-29406",815
"halaelurus buergeri","halaelurus","benthic","fishbase",82,91,"Fis-23141",816
"bythaelurus dawsoni","bythaelurus","benthic","fishbase",197,545,"Fis-154009",818
"bythaelurus hispidus","bythaelurus","benthic","fishbase",222,297,"Fis-154010",819
"bythaelurus lutarius","bythaelurus","benthic","fishbase",388,533,"Fis-154012",822
"halaelurus natalensis","halaelurus","benthic","fishbase",18,83,"Fis-23144",823
"haploblepharus edwardsii","haploblepharus","benthic","fishbase",40,130,"Fis-23146",825
"haploblepharus fuscus","haploblepharus","reef","fishbase",7,16,"Fis-29411",826
"holohalaelurus punctatus","holohalaelurus","benthic","fishbase",244,324,"Fis-23158",828
"holohalaelurus regani","holohalaelurus","benthic","fishbase",150,300,"Fis-23159",829
"parmaturus xaniurus","parmaturus","benthic","fishbase",237,588,"Fis-23213",833
"poroderma africanum","poroderma","benthic","fishbase",10,50,"Fis-23220",835
"poroderma pantherinum","poroderma","reef","fishbase",28,120,"Fis-23221",837
"schroederichthys bivius","schroederichthys","benthic","fishbase",20,47,"Fis-23246",838
"schroederichthys chilensis","schroederichthys","benthic","fishbase",9,28,"Fis-23247",839
"scyliorhinus cervigoni","scyliorhinus","benthic","fishbase",98,252,"Fis-29517",847
"scyliorhinus garmani","scyliorhinus","benthopelagic","fishbase",116,363,"Fis-23253",848
"carcharhinus amboinensis","carcharhinus","reef","fishbase",16,73,"Fis-23048",862
"carcharhinus cautus","carcharhinus","reef","fishbase",6,26,"Fis-23052",866
"carcharhinus fitzroyensis","carcharhinus","benthic","fishbase",4,21,"Fis-23055",869
"carcharhinus hemiodon","carcharhinus","benthic","fishbase",6,26,"Fis-23057",871
"carcharhinus sealei","carcharhinus","reef","fishbase",4,21,"Fis-23068",882
"carcharhinus sorrah","carcharhinus","reef","fishbase",1,73,"Fis-23070",884
"loxodon macrorhinus","loxodon","benthic","fishbase",16,53,"Fis-29436",894
"rhizoprionodon oligolinx","rhizoprionodon","reef","fishbase",3,19,"Fis-29500",902
"rhizoprionodon taylori","rhizoprionodon","pelagic","fishbase",34,140,"Fis-23243",904
"hemitrygon akajei","hemitrygon","benthic","fishbase",14,31,"Fis-172338",940
"caulolatilus guppyi","caulolatilus","benthic","fishbase",60,110,"Fis-22179",985
"trachinotus cayennensis","trachinotus","benthic","fishbase",9,37,"Fis-22211",1009
"hirundichthys oxycephalus","hirundichthys","pelagic","fishbase",2,11,"Fis-23549",1034
"mugil incilis","mugil","benthic","fishbase",14,31,"Fis-22190",1089
"istigobius hoshinonis","istigobius","benthic","fishbase",4,9,"Fis-23631",1102
"haemulon steindachneri","haemulon","reef","fishbase",5,26,"Fis-23530",1142
"rajella lintea","rajella","benthic","fishbase",250,971,"Fis-167643",6422
"cynoscion similis","cynoscion","benthic","fishbase",24,41,"Fis-112813",1176
"sphoeroides maculatus","sphoeroides","benthic","fishbase",28,93,"Fis-23817",1181
"sciaenops ocellatus","sciaenops","benthic","fishbase",14,31,"Fis-23796",1191
"anguilla bengalensis","anguilla","benthopelagic","fishbase",5,26,"Fis-12876",1272
"anguilla mossambica","anguilla","benthic","fishbase",5,26,"Fis-23366",1276
"arius maculatus","arius","benthic","fishbase",55,76,"Fis-23379",1280
"atherina breviceps","atherina","pelagic","fishbase",5,26,"Fis-29685",1301
"atherinomorus duodecimalis","atherinomorus","reef",NA,0,2,"Fis-23384",1302
"hypoatherina barnesi","hypoatherina","reef","fishbase",0,3,"Fis-30137",1305
"tylosurus acus melanotus","tylosurus","pelagic",NA,0,1,"Fis-23877",1317
"nansenia groenlandica","nansenia","pelagic","fishbase",183,596,"Fis-23655",1330
"herklotsichthys lippa","herklotsichthys","pelagic","fishbase",5,26,"Fis-30100",1496
"ethmidium maculatum","ethmidium","pelagic","fishbase",5,26,"Fis-23496",1593
"nematalosa galatheae","nematalosa","pelagic","fishbase",5,26,"Fis-30346",1614
"ilisha filigera","ilisha","pelagic","fishbase",5,26,"Fis-23565",1628
"neoopisthopterus tropicus","neoopisthopterus","pelagic","fishbase",5,26,"Fis-23665",1647
"engraulis eurystole","engraulis","pelagic","fishbase",141,200,"Fis-23488",1662
"gymnocranius griseus","gymnocranius","reef","fishbase",21,48,"Fis-23521",1833
"gymnocranius audleyi","gymnocranius","reef","fishbase",11,25,"Fis-30079",1835
"gymnocranius microdon","gymnocranius","reef","fishbase",18,33,"Fis-23522",1839
"lethrinus crocineus","lethrinus","reef","fishbase",20,75,"Fis-30227",1841
"lethrinus semicinctus","lethrinus","reef","fishbase",7,20,"Fis-30239",1849
"lethrinus haematopterus","lethrinus","reef","fishbase",6,26,"Fis-30232",1856
"lethrinus laticaudis","lethrinus","reef","fishbase",8,21,"Fis-30233",1857
"lethrinus reticulatus","lethrinus","reef","fishbase",7,18,"Fis-30237",1859
"lethrinus erythracanthus","lethrinus","reef","fishbase",26,67,"Fis-30229",1862
"lethrinus genivittatus","lethrinus","reef","fishbase",7,16,"Fis-30231",1865
"lethrinus atlanticus","lethrinus","reef","fishbase",6,26,"Fis-30225",1867
"lethrinus conchyliatus","lethrinus","reef","fishbase",28,107,"Fis-23588",1868
"caranx bucculentus","caranx","reef","fishbase",12,36,"Fis-29757",1896
"caranx senegallus","caranx","benthopelagic","fishbase",22,100,"Fis-29765",1897
"carangoides plagiotaenia","carangoides","reef","fishbase",23,96,"Fis-29763",1910
"carangoides otrynter","carangoides","benthopelagic","fishbase",64,81,"Fis-23426",1915
"caranx vinctus","caranx","pelagic","fishbase",5,26,"Fis-13477",1919
"carangoides dinema","carangoides","reef","fishbase",3,12,"Fis-29760",1925
"hemicaranx leucurus","hemicaranx","benthopelagic","fishbase",5,26,"Fis-23536",1943
"hemicaranx zelotes","hemicaranx","benthopelagic","fishbase",5,26,"Fis-30088",1944
"oligoplites altus","oligoplites","benthopelagic","fishbase",5,26,"Fis-23671",1945
"oligoplites refulgens","oligoplites","pelagic","fishbase",1,8,"Fis-30433",1946
"scomberoides tala","scomberoides","reef","fishbase",10,12,"Fis-23799",1952
"selene orstedii","selene","benthopelagic","fishbase",5,26,"Fis-30648",1957
"seriola hippos","seriola","pelagic","fishbase",5,26,"Fis-30652",1960
"seriola peruana","seriola","benthopelagic","fishbase",5,26,"Fis-30654",1961
"trachinotus coppingeri","trachinotus","pelagic","fishbase",0,3,"Fis-22371",1968
"trachinotus kennedyi","trachinotus","benthic","fishbase",6,26,"Fis-30728",1969
"trachinotus goreensis","trachinotus","pelagic","fishbase",10,50,"Fis-30727",1975
"trachinotus teraia","trachinotus","pelagic","fishbase",5,26,"Fis-30733",1977
"notophycis marginata","notophycis","benthopelagic","fishbase",585,810,"Fis-149277",2008
"lepidion ensiferus","lepidion","pelagic","fishbase",822,895,"Fis-24086",2015
"epigonus telescopus","epigonus","benthic","fishbase",300,800,"Fis-24013",2508
"lampetra ayresii","lampetra","benthic","fishbase",6,26,"Fis-48267",2522
"gymnura marmorata","gymnura","benthic","fishbase",10,47,"Fis-24045",2578
"bascanichthys bascanium","bascanichthys","benthic","fishbase",2,14,"Fis-23927",2637
"ophichthus cruentifer","ophichthus","benthic","fishbase",110,131,"Fis-24225",2654
"oncorhynchus clarkii","oncorhynchus","benthic","fishbase",22,95,"Fis-156254",2688
"spirinchus thaleichthys","spirinchus","benthopelagic","fishbase",14,67,"Fis-24354",2698
"argentina sialis","argentina","benthic","fishbase",46,157,"Fis-29667",2699
"tactostoma macropus","tactostoma","pelagic","fishbase",296,852,"Fis-30707",2713
"diaphus theta","diaphus","pelagic","fishbase",10,400,"Fis-29911",2732
"protomyctophum crockeri","protomyctophum","pelagic","fishbase",146,283,"Fis-24300",2736
"tarletonbeania crenularis","tarletonbeania","pelagic","fishbase",87,314,"Fis-24371",2738
"triphoturus mexicanus","triphoturus","pelagic","fishbase",126,434,"Fis-24386",2739
"gobiesox maeandricus","gobiesox","benthic","fishbase",1,5,"Fis-24636",3075
"rimicola muscarum","rimicola","benthic","fishbase",5,26,"Fis-24935",3081
"fowlerichthys avalonis","fowlerichthys","benthic","fishbase",0,95,"Fis-166685",3083
"chaunax stigmaeus","chaunax","benthic","fishbase",167,375,"Fis-29802",3090
"chilara taylori","chilara","benthic","fishbase",31,131,"Fis-24493",3107
"ophidion marginatum","ophidion","benthic","fishbase",10,50,"Fis-24831",3114
"otophidium omostigma","otophidium","benthic","fishbase",14,31,"Fis-139534",3119
"lycenchelys verrillii","lycenchelys","benthic","fishbase",180,502,"Fis-116726",3132
"lycodes turneri","lycodes","benthic","fishbase",22,67,"Fis-30268",3146
"trachipterus altivelis","trachipterus","pelagic","fishbase",113,393,"Fis-30736",3264
"apeltes quadracus","apeltes","benthopelagic","fishbase",0,2,"Fis-24424",3269
"gasterosteus wheatlandi","gasterosteus","benthopelagic","fishbase",2,11,"Fis-30040",3272
"syngnathus fuscus","syngnathus","benthic","fishbase",46,171,"Fis-30692",3301
"stereolepis gigas","stereolepis","benthic","fishbase",9,26,"Fis-30676",3310
"hemanthias peruanus","hemanthias","pelagic","fishbase",30,70,"Fis-24666",3326
"platycephalus speculator","platycephalus","benthic","fishbase",4,16,"Fis-30653",3552
"diplodus argenteus","diplodus","reef","fishbase",0,15,"Fis-60978",3574
"atractoscion nobilis","atractoscion","benthic","fishbase",13,60,"Fis-24451",3578
"trichodon trichodon","trichodon","benthic","fishbase",43,172,"Fis-25031",3682
"ronquilus jordani","ronquilus","benthic","fishbase",33,130,"Fis-24938",3695
"kathetostoma averruncus","kathetostoma","benthic","fishbase",56,184,"Fis-30155",3707
"hypsoblennius gentilis","hypsoblennius","benthic","fishbase",2,10,"Fis-24694",3761
"hypsoblennius gilberti","hypsoblennius","benthic","fishbase",2,5,"Fis-24695",3762
"anoplarchus purpurescens","anoplarchus","benthic","fishbase",4,16,"Fis-29640",3776
"phytichthys chirus","phytichthys","benthic","fishbase",1,7,"Fis-24897",3791
"plectobranchus evides","plectobranchus","benthic","fishbase",116,217,"Fis-30496",3793
"pholis schultzi","pholis","benthic","fishbase",2,10,"Fis-30487",3807
"ptilichthys goodei","ptilichthys","benthic","fishbase",41,166,"Fis-30556",3814
"zaprora silenus","zaprora","benthic","fishbase",0,500,"Fis-30757",3819
"dormitator latifrons","dormitator","benthic","fishbase",3,11,"Fis-24542",3826
"gobiosoma bosc","gobiosoma","benthic","fishbase",2,11,"Fis-16800",3870
"gobiosoma ginsburgi","gobiosoma","benthic","fishbase",5,26,"Fis-30067",3871
"ilypnus gilberti","ilypnus","benthic","fishbase",3,11,"Fis-24713",3880
"microgobius thalassinus","microgobius","benthic","fishbase",0,4,"Fis-24780",3893
"icichthys lockingtoni","icichthys","pelagic","fishbase",113,393,"Fis-30146",3922
"psenes pellucidus","psenes","pelagic","fishbase",144,446,"Fis-30525",3927
"icosteus aenigmaticus","icosteus","pelagic","fishbase",18,732,"Fis-30147",3929
"scorpaena isthmensis","scorpaena","benthic","fishbase",12,55,"Fis-30623",3945
"scorpaenodes xyris","scorpaenodes","reef","fishbase",3,16,"Fis-24946",3948
"sebastes borealis","sebastes","benthic","fishbase",155,515,"Fis-30632",3954
"sebastes ciliatus","sebastes","benthic","fishbase",21,80,"Fis-24955",3960
"sebastes paucispinis","sebastes","reef","fishbase",56,216,"Fis-30643",3987
"sebastes variegatus","sebastes","benthic","fishbase",127,291,"Fis-30887",4006
"bellator xenisma","bellator","benthic","fishbase",63,78,"Fis-24464",4015
"hexagrammos decagrammus","hexagrammos","benthic","fishbase",9,26,"Fis-24672",4032
"hexagrammos lagocephalus","hexagrammos","benthic","fishbase",10,15,"Fis-24673",4033
"hexagrammos stelleri","hexagrammos","benthic","fishbase",34,140,"Fis-30817",4035
"oxylebius pictus","oxylebius","benthic","fishbase",5,25,"Fis-30854",4036
"zaniolepis latipinnis","zaniolepis","benthic","fishbase",54,116,"Fis-30910",4039
"ruscarius creaseri","ruscarius","benthic","fishbase",2,14,"Fis-24438",4045
"artedius lateralis","artedius","benthic","fishbase",1,7,"Fis-24440",4048
"ruscarius meanyi","ruscarius","benthic","fishbase",10,42,"Fis-30766",4049
"ascelichthys rhodorus","ascelichthys","benthic","fishbase",1,8,"Fis-30768",4051
"blepsias bilobus","blepsias","benthic","fishbase",28,118,"Fis-30774",4053
"blepsias cirrhosus","blepsias","benthic","fishbase",16,73,"Fis-24467",4054
"chitonotus pugetensis","chitonotus","benthic","fishbase",15,73,"Fis-24498",4055
"clinocottus acuticeps","clinocottus","benthic","fishbase",2,11,"Fis-24511",4056
"clinocottus embryum","clinocottus","benthic","fishbase",1,8,"Fis-24513",4058
"clinocottus globiceps","clinocottus","benthic","fishbase",2,11,"Fis-24514",4059
"dasycottus setiger","dasycottus","benthic","fishbase",119,381,"Fis-30807",4085
"enophrys bison","enophrys","benthic","fishbase",3,11,"Fis-24552",4086
"enophrys taurina","enophrys","benthic","fishbase",38,126,"Fis-30809",4089
"psychrolutes sigalutes","psychrolutes","benthic","fishbase",25,106,"Fis-14939",4090
"hemilepidotus hemilepidotus","hemilepidotus","benthic","fishbase",53,205,"Fis-24668",4093
"hemilepidotus spinosus","hemilepidotus","benthic","fishbase",96,343,"Fis-115192",4095
"hemilepidotus zapus","hemilepidotus","benthic","fishbase",100,250,"Fis-30816",4096
"icelinus borealis","icelinus","benthic","fishbase",43,149,"Fis-30821",4099
"icelinus burchami","icelinus","benthic","fishbase",121,291,"Fis-30822",4100
"icelinus cavifrons","icelinus","benthic","fishbase",19,51,"Fis-30823",4101
"icelinus fimbriatus","icelinus","benthic","fishbase",73,152,"Fis-30825",4103
"icelinus tenuis","icelinus","benthic","fishbase",72,190,"Fis-30827",4106
"leptocottus armatus","leptocottus","benthic","fishbase",16,75,"Fis-30832",4112
"nautichthys oculofasciatus","nautichthys","benthic","fishbase",16,57,"Fis-24812",4125
"oligocottus maculosus","oligocottus","benthic","fishbase",10,51,"Fis-30851",4128
"oligocottus rubellio","oligocottus","benthic","fishbase",3,16,"Fis-24826",4130
"oligocottus snyderi","oligocottus","benthic","fishbase",1,8,"Fis-30852",4131
"paricelinus hopliticus","paricelinus","benthic","fishbase",76,88,"Fis-30857",4133
"psychrolutes paradoxus","psychrolutes","benthic","fishbase",140,475,"Fis-30881",4135
"radulinus asprellus","radulinus","benthic","fishbase",48,143,"Fis-30882",4136
"radulinus boleoides","radulinus","benthic","fishbase",29,79,"Fis-30883",4137
"rhamphocottus richardsonii","rhamphocottus","benthic","fishbase",17,80,"Fis-14977",4139
"synchirus gilli","synchirus","benthic","fishbase",2,13,"Fis-30901",4143
"triglops macellus","triglops","benthic","fishbase",56,172,"Fis-25035",4145
"triglops scepticus","triglops","benthic","fishbase",100,380,"Fis-30905",4149
"agonomalus mozinoi","agonomalus","benthic","fishbase",2,7,"Fis-30759",4150
"podothecus accipenserinus","podothecus","benthic","fishbase",89,315,"Fis-147788",4153
"anoplagonus inermis","anoplagonus","benthic","fishbase",17,55,"Fis-24421",4155
"stellerina xyosterna","stellerina","benthic","fishbase",12,40,"Fis-25004",4172
"xeneretmus leiops","xeneretmus","benthic","fishbase",78,204,"Fis-30906",4174
"aptocyclus ventricosus","aptocyclus","benthopelagic","fishbase",751,1082,"Fis-24433",4177
"eumicrotremus orbis","eumicrotremus","benthic","fishbase",69,258,"Fis-24611",4184
"liparis coheni","liparis","benthic","fishbase",26,102,"Fis-30833",4188
"liparis florae","liparis","benthic","fishbase",2,13,"Fis-24745",4192
"liparis inquilinus","liparis","benthic","fishbase",12,50,"Fis-30838",4195
"nectoliparis pelagicus","nectoliparis","pelagic","fishbase",0,238,"Fis-30848",4201
"citharichthys arctifrons","citharichthys","benthic","fishbase",82,194,"Fis-30781",4209
"citharichthys fragilis","citharichthys","benthic","fishbase",55,170,"Fis-30783",4212
"citharichthys stigmaeus","citharichthys","benthic","fishbase",66,91,"Fis-30787",4217
"citharichthys xanthostigma","citharichthys","benthic","fishbase",23,97,"Fis-30788",4218
"etropus microstomus","etropus","benthic","fishbase",10,46,"Fis-24604",4222
"xystreurys liolepis","xystreurys","benthic","fishbase",12,42,"Fis-30908",4235
"embassichthys bathybius","embassichthys","benthic","genus gapfill",500,950,"Fis-24545",4236
"hypsopsetta guttulata","hypsopsetta","benthic","genus gapfill",1,20,"Fis-24699",4241
"isopsetta isolepis","isopsetta","benthic","fishbase",67,205,"Fis-24715",4242
"lyopsetta exilis","lyopsetta","benthic","fishbase",121,366,"Fis-24759",4246
"pleuronichthys ritteri","pleuronichthys","benthic","fishbase",6,26,"Fis-30867",4253
"pleuronichthys verticalis","pleuronichthys","benthic","fishbase",30,100,"Fis-30868",4254
"symphurus atricaudus","symphurus","benthic",NA,30,80,"Fis-25011",4262
"canthidermis maculata","canthidermis","reef","fishbase",12,55,"Fis-24478",4278
"sphoeroides lobatus","sphoeroides","benthic","fishbase",15,36,"Fis-25000",4295
"stonogobiops xanthorhinica","stonogobiops","reef","genus gapfill",20,45,"Fis-30914",4311
"normanichthys crockeri","normanichthys","benthic","fishbase",37,200,"Fis-30916",4313
"istigobius ornatus","istigobius","reef","fishbase",0,3,"Fis-25056",4322
"istigobius nigroocellatus","istigobius","benthic","fishbase",3,7,"Fis-25059",4325
"istigobius decoratus","istigobius","reef","fishbase",1,18,"Fis-25061",4328
"istigobius campbelli","istigobius","benthic","fishbase",4,9,"Fis-25064",4336
"istigobius spence","istigobius","reef","fishbase",2,7,"Fis-25065",4337
"enoplosus armatus","enoplosus","reef","fishbase",9,45,"Fis-25067",4341
"stegastes altus","stegastes","reef",NA,6,13,"Fis-25068",4343
"stegastes apicalis","stegastes","reef",NA,1,3,"Fis-25069",4344
"stegastes aureus","stegastes","reef",NA,1,3,"Fis-25070",4345
"stegastes insularis","stegastes","reef",NA,1,3,"Fis-30931",4349
"stegastes obreptus","stegastes","reef",NA,3,7,"Fis-25077",4353
"calotomus japonicus","calotomus","reef","fishbase",2,6,"Fis-25079",4356
"calotomus spinidens","calotomus","reef","fishbase",8,37,"Fis-25080",4357
"pseudamia amblyuroptera","pseudamia","reef","fishbase",2,3,"Fis-25084",4361
"pseudamia hayashii","pseudamia","reef","fishbase",8,34,"Fis-30934",4363
"pseudamia zonata","pseudamia","reef","fishbase",12,23,"Fis-30936",4365
"pervagor melanocephalus","pervagor","reef","fishbase",20,31,"Fis-25088",4370
"pervagor nigrolineatus","pervagor","reef","fishbase",9,17,"Fis-25089",4371
"pervagor randalli","pervagor","reef","fishbase",14,31,"Fis-30938",4372
"ptereleotris microlepis","ptereleotris","reef","fishbase",1,10,"Fis-25095",4381
"cirripectes auritus","cirripectes","reef","fishbase",0,10,"Fis-30944",4386
"cirripectes gilberti","cirripectes","reef","fishbase",1,5,"Fis-30947",4391
"cirripectes hutchinsi","cirripectes","reef","fishbase",3,12,"Fis-30948",4392
"cirripectes imitator","cirripectes","reef","fishbase",1,6,"Fis-30949",4393
"cirripectes perustus","cirripectes","reef","fishbase",2,13,"Fis-30952",4397
"suezichthys gracilis","suezichthys","reef","fishbase",2,6,"Fis-25105",4407
"suezichthys caudavittatus","suezichthys","benthic","fishbase",58,90,"Fis-149115",4409
"suezichthys arquatus","suezichthys","reef","fishbase",22,57,"Fis-30960",4412
"blennodesmus scapularis","blennodesmus","reef","fishbase",0,2,"Fis-30962",4414
"congrogadus subducens","congrogadus","reef","fishbase",1,6,"Fis-25111",4419
"halidesmus scapularis","halidesmus","benthic","fishbase",1,9,"Fis-30965",4421
"haliophis guttatus","haliophis","reef","fishbase",2,9,"Fis-25113",4428
"pentaprion longimanus","pentaprion","benthic","fishbase",37,113,"Fis-25120",4448
"eubleekeria splendens","eubleekeria","benthic","fishbase",19,55,"Fis-161066",4454
"dactyloptena orientalis","dactyloptena","reef","fishbase",11,50,"Fis-25150",4485
"myctophum aurolaternatum","myctophum","pelagic","fishbase",1423,2221,"Fis-30986",4489
"psettodes belcheri","psettodes","benthic","fishbase",17,73,"Fis-30991",4504
"gonorynchus gonorynchus","gonorynchus","benthic","fishbase",22,95,"Fis-62090",4528
"dentex canariensis","dentex","benthic","fishbase",96,233,"Fis-31010",4539
"pseudorhombus cinnamoneus","pseudorhombus","benthic","fishbase",35,90,"Fis-25195",4576
"sebastes inermis","sebastes","benthic","fishbase",22,95,"Fis-31027",4586
"eurypegasus draconis","eurypegasus","benthic","fishbase",35,90,"Fis-25213",4606
"pegasus volitans","pegasus","benthic","fishbase",9,27,"Fis-31035",4609
"pegasus lancifer","pegasus","benthic","fishbase",24,41,"Fis-31036",4610
"siganus javus","siganus","reef","fishbase",2,20,"Fis-25221",4618
"siganus punctatissimus","siganus","reef","fishbase",14,22,"Fis-31039",4620
"siganus stellatus","siganus","reef","fishbase",5,30,"Fis-25223",4622
"siganus unimaculatus","siganus","reef","fishbase",1,30,"Fis-25228",4630
"dentex congoensis","dentex","benthic","fishbase",150,200,"Fis-31047",4641
"priacanthus tayenus","priacanthus","reef","fishbase",39,106,"Fis-31051",4651
"platycephalus richardsoni","platycephalus","benthic","fishbase",55,200,"Fis-31066",4705
"callorhinchus milii","callorhinchus","benthic","fishbase",25,107,"Fis-31073",4722
"scopelopsis multipunctatus","scopelopsis","pelagic","fishbase",273,835,"Fis-31074",4723
"acanthurus leucocheilus","acanthurus","reef","fishbase",3,30,"Fis-31080",4741
"sarda lineolata","sarda","pelagic","fishbase",5,26,"Fis-1099",4796
"planiliza subviridis","planiliza","benthic","fishbase",0,3,"Fis-172568",4819
"glossogobius giuris","glossogobius","benthopelagic","fishbase",0,3,"Fis-25344",4833
"paracheilinus octotaenia","paracheilinus","reef","fishbase",5,45,"Fis-31111",4840
"paracheilinus carpenteri","paracheilinus","reef","fishbase",27,45,"Fis-31114",4843
"halichoeres chrysus","halichoeres","reef","fishbase",15,60,"Fis-31123",4855
"halichoeres prosopeion","halichoeres","reef","fishbase",5,22,"Fis-21693",4862
"labropsis alleni","labropsis","reef","fishbase",8,29,"Fis-31125",4863
"platycephalus bassensis","platycephalus","benthic","fishbase",11,50,"Fis-31130",4873
"dendrochirus brachypterus","dendrochirus","reef","fishbase",10,41,"Fis-25379",4912
"carlarius heudelotii","carlarius","benthic","fishbase",21,46,"Fis-165324",4928
"perulibatrachus elminensis","perulibatrachus","benthic","fishbase",5,26,"Fis-25385",4932
"batrachoides liberiensis","batrachoides","benthic","fishbase",10,30,"Fis-25386",4933
"bembrops heterurus","bembrops","benthic","fishbase",80,200,"Fis-25387",4934
"branchiostegus semifasciatus","branchiostegus","benthic","fishbase",50,100,"Fis-25388",4935
"cynoglossus monodi","cynoglossus","benthic","fishbase",10,25,"Fis-31161",4950
"rhynchobatus luebberti","rhynchobatus","benthic","fishbase",3,35,"Fis-62889",5017
"fontitrygon margarita","fontitrygon","benthic","fishbase",7,31,"Fis-172364",4954
"solitas gruveli","solitas","benthic","fishbase",39,106,"Fis-128462",4963
"scarus flavipectoralis","scarus","reef","fishbase",20,22,"Fis-21827",4968
"scarus rivulatus","scarus","reef","fishbase",4,16,"Fis-21834",4969
"scarus prasiognathos","scarus","reef","fishbase",3,14,"Fis-21841",4971
"chromis elerae","chromis","reef",NA,18,42,"Fis-31173",4983
"lepidotrigla cadmani","lepidotrigla","benthic","fishbase",72,200,"Fis-31174",4986
"lepidotrigla carolae","lepidotrigla","benthic","fishbase",55,189,"Fis-31175",4987
"microchirus frechkopi","microchirus","benthic","fishbase",97,142,"Fis-31178",4992
"microchirus wittei","microchirus","benthic","fishbase",181,291,"Fis-31179",4993
"monolene microstoma","monolene","pelagic","fishbase",76,223,"Fis-31180",4994
"paragaleus pectoralis","paragaleus","benthic","fishbase",30,70,"Fis-25414",4998
"pentheroscion mbizi","pentheroscion","benthic","fishbase",80,200,"Fis-25416",5000
"pontinus accraensis","pontinus","benthic","fishbase",100,235,"Fis-31183",5006
"pseudotolithus senegallus","pseudotolithus","benthic","fishbase",16,73,"Fis-48305",5009
"pseudotolithus moorii","pseudotolithus","benthic","fishbase",23,58,"Fis-25422",5010
"raja straeleni","raja","benthic","fishbase",100,300,"Fis-31188",5015
"vanstraelenia chirophthalma","vanstraelenia","benthic","fishbase",17,54,"Fis-4786",5042
"lamprogrammus exutus","lamprogrammus","benthic","fishbase",550,700,"Fis-31218",5055
"paraconger notialis","paraconger","benthic","fishbase",25,50,"Fis-31227",5069
"antennarius pardalis","antennarius","reef","fishbase",21,35,"Fis-25440",5072
"monomitopus metriostoma","monomitopus","benthic","fishbase",409,805,"Fis-25453",5096
"argyropelecus olfersii","argyropelecus","pelagic","fishbase",185,410,"Fis-7929",5097
"lophiodes kempi","lophiodes","benthic","fishbase",90,211,"Fis-25459",5103
"thorogobius angolensis","thorogobius","benthic","fishbase",26,100,"Fis-25460",5104
"scopelengys tristis","scopelengys","pelagic","fishbase",587,1008,"Fis-31242",5119
"chromis lineata","chromis","reef",NA,5,19,"Fis-31245",5128
"chelon richardsonii","chelon","benthic","fishbase",5,26,"Fis-172576",5146
"ambassis interrupta","ambassis","benthic","fishbase",5,26,"Fis-31253",5153
"stomias atriventer","stomias","pelagic","fishbase",283,696,"Fis-31254",5155
"cypselurus opisthopus","cypselurus","pelagic","fishbase",2,11,"Fis-25494",5159
"atherinomorus endrachtensis","atherinomorus","reef","fishbase",5,26,"Fis-25526",5228
"odontostomias micropogon","odontostomias","pelagic","fishbase",1423,2221,"Fis-31322",5297
"parvilux ingens","parvilux","pelagic","fishbase",146,283,"Fis-31335",5311
"sargocentron cornutum","sargocentron","reef","fishbase",9,24,"Fis-25610",5406
"nemipterus thosaporni","nemipterus","benthic","fishbase",17,45,"Fis-31377",5414
"hoplostethus cadenati","hoplostethus","pelagic","fishbase",200,700,"Fis-31398",5471
"chaetodon oxycephalus","chaetodon","reef","fishbase",13,26,"Fis-31399",5472
"koumansetta rainfordi","koumansetta","reef","fishbase",3,30,"Fis-115656",5478
"chauliodus schmidti","chauliodus","pelagic","fishbase",429,639,"Fis-31402",5480
"parasudis fraserbrunneri","parasudis","benthic","fishbase",172,368,"Fis-25649",5481
"coris variegata","coris","reef","fishbase",1,6,"Fis-25651",5485
"chrysiptera rollandi","chrysiptera","reef","fishbase",5,19,"Fis-25652",5486
"cynoglossus lida","cynoglossus","benthic","fishbase",5,17,"Fis-25654",5489
"bodianus bimaculatus","bodianus","reef","fishbase",30,60,"Fis-31407",5499
"choerodon anchorago","choerodon","reef","fishbase",3,14,"Fis-25663",5502
"chrysoblephus anglicus","chrysoblephus","reef","fishbase",28,60,"Fis-25681",5528
"chrysoblephus laticeps","chrysoblephus","benthic","fishbase",11,50,"Fis-25682",5529
"cymatoceps nasutus","cymatoceps","benthic","fishbase",9,41,"Fis-25684",5531
"scarus festivus","scarus","reef","fishbase",4,16,"Fis-31417",5544
"scarus quoyi","scarus","reef","fishbase",3,11,"Fis-31425",5554
