"species","total_hab_area"
"cheilodactylus vestitus",131900
"cheilodactylus vittatus",435800
"cheilodactylus zonatus",467900
"cheilodipterus alleni",3582200
"cheilodipterus arabicus",1536300
"cheilodipterus artus",7531800
"cheilodipterus intermedius",2565400
"cheilodipterus isostigmus",3213300
"cheilodipterus lachneri",824400
"cheilodipterus macrodon",5623600
"cheilodipterus novemstriatus",719400
"cheilodipterus parazonatus",528400
"cheilodipterus persicus",711600
"cheilodipterus quinquelineatus",5274600
"cheilodipterus singapurensis",2577000
"cheilopogon abei",7260600
"cheilopogon altipennis",906700
"cheilopogon arcticeps",5015100
"cheilopogon atrisignis",120617500
"cheilopogon cyanopterus",116898500
"cheilopogon doederleinii",3752700
"cheilopogon dorsomacula",4637800
"cheilopogon exsiliens",31372500
"cheilopogon furcatus",227787300
"cheilopogon heterurus",779200
"cheilopogon hubbsi",5099100
"cheilopogon intermedius",6252100
"cheilopogon katoptron",4952200
"cheilopogon melanurus",2601000
"cheilopogon milleri",1966700
"cheilopogon nigricans",59054100
"cheilopogon papilio",178500
"cheilopogon pinnatibarbatus californicus",199500
"cheilopogon pinnatibarbatus pinnatibarbatus",2030600
"cheilopogon spilonotopterus",46028400
"cheilopogon spilopterus",7513400
"cheilopogon suttoni",8811700
"cheilopogon unicolor",4836200
"cheilopogon xenopterus",14486300
"cheiloprion labiatus",2859600
"cheilotrema saturnum",93600
"cheimerius nufar",2511700
"cheiraster blakei",1429700
"cheiraster dawsoni",394200
"cheiraster niasicus",1974000
"cheiraster subtuberculatus",1762000
"cheirimedon femoratus",389200
"cheiroplatea pumicicola",4648100
"chelarctus aureus",2271300
"chelarctus cultrifer",7070100
"chelidonichthys capensis",263100
"chelidonichthys cuculus",2222900
"chelidonichthys gabonensis",460300
"chelidonichthys kumu",3750300
"chelidonichthys lastoviza",1696600
"chelidonichthys lucerna",1720900
"chelidonichthys obscurus",935700
"chelidonichthys queketti",101500
"chelidonichthys spinosus",2128600
"chelidonura amoena",3349600
"chelidonura electra",2850500
"chelidonura hirundinina",5088800
"chelidonura inornata",473800
"chelidonura livida",1422700
"chelidoperca hirundinacea",3276700
"chelidoperca lecromi",198100
"chelidoperca margaritifera",3506100
"chelidoperca pleurospilus",4189200
"chelidoperca stella",3623000
"chelmon marginalis",646900
"chelmon muelleri",705700
"chelmon rostratus",4766100
"chelmonops curiosus",243600
"chelmonops truncatus",469500
"chelon auratus",1706700
"chelon dumerili",365300
"chelon labrosus",1225000
"chelon planiceps",5685500
"chelon ramada",1406500
"chelon richardsonii",77200
"chelon saliens",691000
"chelon tricuspidens",273700
"chelonaplysilla erecta",5080100
"chelonia mydas",21468700
"chelonibia caretta",9540300
"chelonibia patula",11448000
"chelonibia testudinaria",10009400
"chelonodon laticeps",2857500
"chelonodon patoca",5481200
"chelophyes appendiculata",14268300
"chelophyes contorta",13628900
"chelycypraea testudinaria",5022500
"chelyonotus nigra",2790700
"cheroscorpaena tridactyla",996600
"cherublemma emmelas",770100
"chesnonia verrucosa",1622000
"chevalia carpenteri",713400
"chevalia mexicana",738200
"chiasmodon niger",32248400
"chiasmodon subniger",42337000
"chicomurex superbus",5039000
"chicoreus aculeatus",5179600
"chicoreus axicornis",5513200
"chicoreus banksii",4995100
"chicoreus beauii",2747700
"chicoreus brevifrons",1183400
"chicoreus brunneus",5073100
"chicoreus capucinus",2734900
"chicoreus consuela",621200
"chicoreus dilectus",649600
"chicoreus florifer",1143500
"chicoreus microphyllus",3673700
"chicoreus nobilis",3812600
"chicoreus palmarosae",3792800
"chicoreus pomum",1828600
"chicoreus ramosus",6307200
"chicoreus rossiteri",3971600
"chicoreus strigatus",2826800
"chicoreus territus",865200
"chicoreus torrefactus",5945600
"chilara taylori",269200
"chiloconger dentatus",865500
"chilomycterus antennatus",1494800
"chilomycterus antillarum",1659600
"chilomycterus reticulatus",8950300
"chilomycterus schoepfii",1027000
"chilorhinus platyrhynchus",3018700
"chilorhinus suensonii",865100
"chiloscyllium arabicum",496500
"chiloscyllium griseum",3255100
"chiloscyllium indicum",3302900
"chiloscyllium plagiosum",3903800
"chiloscyllium punctatum",4427200
"chimaera cubana",1170600
"chimaera fulva",1524300
"chimaera lignaria",2191000
"chimaera macrospina",2844300
"chimaera monstrosa",2048600
"chimaera phantasma",6449300
"chione elevata",1291400
"chione mazyckii",1429300
"chionobathyscus dewitti",470000
"chionodraco hamatus",1505800
"chionodraco myersi",1637100
"chionodraco rastrospinosus",256200
"chionoecetes opilio",4439100
"chiridius poppei",1445500
"chiridota pisanii",1095300
"chiridota rotifera",1152000
"chirocentrodon bleekerianus",1627800
"chirocentrus dorab",5244900
"chirocentrus nudus",9354200
"chirodactylus brachydactylus",178100
"chirodactylus grandis",95800
"chirolophis ascanii",1204100
"chirolophis decoratus",527600
"chirolophis nugator",578400
"chirolophis snyderi",1206000
"chirona tenuis",11234000
"chironemus georgianus",332800
"chironemus maculosus",368200
"chironemus marmoratus",83000
"chironex fleckeri",3896700
"chiropsalmus quadrumanus",15690300
"chirostomias pliopterus",13614500
"chirostylus dolichopus",7535200
"chiroteuthis joubini",24113700
"chiroteuthis mega",36102400
"chiroteuthis veranyi",248762600
"chirundina streetsii",2689300
"chiton affinis",657900
"chiton cumingsii",103600
"chiton granosus",103000
"chiton hululensis",5059400
"chiton magnificus",158200
"chiton marmoratus",688900
"chiton salihafui",246000
"chiton squamosus",730300
"chiton tuberculatus",747300
"chiton viridis",707000
"chitonotus pugetensis",860500
"chlamydella favus",1840600
"chlamydoselachus anguineus",12367400
"chlamys behringiana",1885600
"chlamys coruscans",4176400
"chlamys delicatula",388700
"chlamys farreri",517800
"chlamys gloriosa",4477800
"chlamys hastata",1033400
"chlamys irregularis",3861600
"chlamys islandica",5413900
"chlamys lentiginosa",2472900
"chlamys lowei",31685700
"chlamys nobilis",650600
"chlamys rubida",1207900
"chlamys septemradiatus",824000
"chlamys squamata",4379600
"chlanidota densesculpta",21100
"chlanidota signeyana",274700
"chlidichthys pembae",508300
"chlidonophora incerta",1294000
"chlopsis apterus",434500
"chlopsis bicolor",4452600
"chlopsis dentatus",2363200
"chlopsis olokun",320400
"chlorocurtis jactans",1234400
"chlorodesmis fastigiata",3586000
"chlorodesmis hildebrandtii",2861500
"chlorodiella barbata",529300
"chlorodiella cytherea",892400
"chlorodiella laevissima",4611900
"chlorodiella longimana",828600
"chlorodiella nigra",3520300
"chlorophthalmus acutifrons",5613000
"chlorophthalmus agassizi",19151500
"chlorophthalmus albatrossis",5724400
"chlorophthalmus atlanticus",626300
"chlorophthalmus borealis",2119500
"chlorophthalmus chalybeius",117000
"chlorophthalmus corniger",3403900
"chlorophthalmus ichthyandri",162600
"chlorophthalmus mento",524700
"chlorophthalmus nigromarginatus",5305400
"chlorophthalmus proridens",717000
"chlorophthalmus punctatus",867200
"chloroscombrus chrysurus",3529500
"chloroscombrus orqueta",538800
"chlorotocella gracilis",5182800
"chlorotocoides spinicauda",7113600
"chlorotocus crassicornis",9677400
"chlorurus atrilunula",561000
"chlorurus bleekeri",2683300
"chlorurus bowersi",1980800
"chlorurus capistratoides",3139000
"chlorurus enneacanthus",1149800
"chlorurus frontalis",1677700
"chlorurus genazonatus",394900
"chlorurus gibbus",4825900
"chlorurus japanensis",2610400
"chlorurus microrhinos",3373100
"chlorurus oedema",4798000
"chlorurus perspicillatus",59100
"chlorurus rhakoura",1175700
"chlorurus sordidus",4988100
"chlorurus strongylocephalus",4475500
"chlorurus troschelii",2457900
"choerodon anchorago",3507900
"choerodon azurio",1884500
"choerodon cauteroma",162500
"choerodon cephalotes",1647800
"choerodon cyanodus",1704800
"choerodon fasciatus",1700100
"choerodon graphicus",551500
"choerodon gymnogenys",882800
"choerodon jordani",2454500
"choerodon monostigma",809800
"choerodon oligacanthus",1336100
"choerodon robustus",5528100
"choerodon schoenleinii",5010000
"choerodon sugillatum",1401700
"choerodon vitta",956300
"choerodon zamboangae",3222400
"choerodon zosterophorus",2613400
"choeroichthys brachysoma",4783800
"choeroichthys cinctus",2441600
"choeroichthys sculptus",3720700
"choeroichthys suillus",613500
"chondria dasyphylla",2201100
"chondria polyrhiza",1113300
"chondrilla australiensis",5771400
"chondrilla caribensis",685400
"chondrilla nucula",1719400
"chondrocladia clavata",6093200
"chondrosia collectrix",1298000
"chondrosia reniformis",2023900
"chondrus crispus",1608300
"chonelasma lamella",1158400
"choneplax lata",1068700
"choriaster granulatus",4551400
"chorinus heros",644500
"chorismus antarcticus",1263000
"chorisochismus dentex",74700
"chorisquilla excavata",2518900
"chorisquilla hystrix",3596000
"chorisquilla spinosissima",3202300
"choristodon robustus",1285100
"chorizocormus reticulatus",980800
"chorizopora brongniartii",1395700
"choromytilus chorus",502600
"choromytilus meridionalis",62900
"choromytilus palliopunctatus",246800
"chriodorus atherinoides",1523800
"chriolepis semisquamata",97300
"chriolepis vespa",630500
"chriolepis zebra",85200
"chrionema chlorotaenia",16215900
"chrionema chryseres",5492900
"chrionema squamentum",2461700
"chrionema squamiceps",122700
"chromatonema rubrum",3922500
"chromis abrupta",10700
"chromis acares",944500
"chromis agilis",2815800
"chromis alpha",3112900
"chromis alta",241200
"chromis amboinensis",2880400
"chromis analis",6608900
"chromis atrilobata",333600
"chromis atripectoralis",4667100
"chromis atripes",3254200
"chromis axillaris",1225000
"chromis bami",159000
"chromis brevirostris",221600
"chromis cadenati",290500
"chromis caudalis",2944500
"chromis chromis",1009600
"chromis chrysura",1599500
"chromis cinerascens",3708200
"chromis cyanea",811600
"chromis dasygenys",266100
"chromis delta",5333100
"chromis dimidiata",937700
"chromis dispilus",63500
"chromis elerae",3391700
"chromis enchrysura",1713500
"chromis fieldi",1508400
"chromis flavaxilla",966300
"chromis flavicauda",896900
"chromis flavipectoralis",323300
"chromis flavomaculata",976900
"chromis fumea",2956700
"chromis hanui",43200
"chromis hypsilepis",75100
"chromis insolata",1247000
"chromis intercrusma",73000
"chromis iomelas",541500
"chromis klunzingeri",106200
"chromis lepidolepis",4553900
"chromis leucura",3154600
"chromis limbata",418800
"chromis limbaughi",70500
"chromis lineata",1857000
"chromis margaritifer",2236400
"chromis multilineata",1667800
"chromis nigrura",915800
"chromis nitida",243900
"chromis notata",922000
"chromis opercularis",4480100
"chromis ovalis",56700
"chromis ovatiformes",3271700
"chromis pembae",1011200
"chromis punctipinnis",41600
"chromis retrofasciata",3190200
"chromis scotochiloptera",1798000
"chromis scotti",1038600
"chromis ternatensis",4357400
"chromis trialpha",2947100
"chromis vanderbilti",1615900
"chromis verater",53600
"chromis viridis",5100500
"chromis weberi",4912500
"chromis westaustralis",239400
"chromis woodsi",498900
"chromis xanthochira",2725900
"chromis xanthura",2566100
"chromis yamakawai",782900
"chromodoris africana",804100
"chromodoris albopunctata",2354000
"chromodoris alternata",284500
"chromodoris ambigua",195500
"chromodoris annae",3503300
"chromodoris annulata",1298600
"chromodoris clenchi",1700000
"chromodoris coi",3496700
"chromodoris colemani",2818700
"chromodoris collingwoodi",4865000
"chromodoris dalli",455700
"chromodoris daphne",1003600
"chromodoris epicuria",290800
"chromodoris geometrica",3760500
"chromodoris hamiltoni",359800
"chromodoris kuiteri",148100
"chromodoris lineolata",4321900
"chromodoris lochi",3692500
"chromodoris sinensis",4805900
"chromodoris tasmaniensis",370800
"chromodoris thompsoni",119500
"chromodoris tinctoria",1707500
"chromogobius quadrivittatus",520300
"chromoplexaura marki",398200
"chrysallida eximia",196600
"chrysaora hysoscella",1427800
"chrysaora plocamia",817600
"chrysaora quinquecirrha",13215100
"chrysiptera annulata",664800
"chrysiptera biocellata",4018600
"chrysiptera brownriggii",3838500
"chrysiptera caeruleolineata",3425400
"chrysiptera cyanea",2964200
"chrysiptera flavipinnis",1116600
"chrysiptera galba",65100
"chrysiptera glauca",3065400
"chrysiptera hemicyanea",3601900
"chrysiptera oxycephala",1413000
"chrysiptera parasema",2291600
"chrysiptera rex",2988300
"chrysiptera rollandi",3229900
"chrysiptera springeri",1199700
"chrysiptera starcki",2053200
"chrysiptera talboti",3322000
"chrysiptera taupou",440700
"chrysiptera traceyi",410000
"chrysiptera tricincta",3173500
"chrysiptera unimaculata",3860000
"chrysoblephus anglicus",73000
"chrysoblephus cristiceps",140800
"chrysoblephus gibbiceps",57000
"chrysoblephus laticeps",19300
"chrysoblephus puniceus",121200
"chrysochir aureus",5984000
"chrysostoma paradoxum",3045400
"chtenopteryx sicula",254819600
"chthamalus fragilis",2304900
"chthamalus malayensis",4983700
"chthamalus stellatus",1453600
"ciclopecten fluctuatus",3824700
"cidaris abyssicola",2080900
"cidaris cidaris",2271000
"cidaris rugosa",2101400
"ciliata mustela",446000
"ciliata septentrionalis",496800
"ciliatocardium ciliatum",950900
"cilicaea caniculata",910000
"ciliopagurus krempfi",7713100
"ciliopagurus pacificus",3197800
"ciliopagurus strigatus",5302900
"ciliopagurus vakovako",10900
"cilunculus cactoides",433500
"cilunculus sewelli",29078600
"cilus gilberti",135300
"cinachyra antarctica",2295500
"cinachyra barbata",890500
"cinachyrella alloclada",1146500
"cinachyrella apion",694100
"cinachyrella arenosa",1098100
"cinachyrella australiensis",3666600
"cinachyrella kuekenthali",1270300
"cinachyrella macellata",1666000
"cinachyrella tarentina",8896100
"cinetorhynchus concolor",1761000
"cinetorhynchus hendersoni",2762500
"cinetorhynchus hiatti",773300
"cinetorhynchus reticulatus",3405800
"cinetorhynchus rigens",1430100
"ciocalypta penicillus",321300
"ciocalypta tyleri",1342800
"ciona antarctica",1826400
"ciona intestinalis",10969700
"circe intermedia",444900
"circe rugifera",1064700
"circe scripta",5034800
"circenita callipyga",890400
"cirolana mclaughlinae",1155000
"cirolana parva",1206900
"cirrhibarbis capensis",24900
"cirrhigaleus asper",3841600
"cirrhigaleus barbifer",4844100
"cirrhilabrus bathyphilus",332900
"cirrhilabrus beauperryi",1143000
"cirrhilabrus condei",949700
"cirrhilabrus cyanopleura",3134000
"cirrhilabrus exquisitus",3850800
"cirrhilabrus katherinae",1439200
"cirrhilabrus laboutei",362200
"cirrhilabrus lineatus",300800
"cirrhilabrus lubbocki",2078600
"cirrhilabrus punctatus",1939000
"cirrhilabrus randalli",180100
"cirrhilabrus rubrimarginatus",3646300
"cirrhilabrus rubriventralis",1550200
"cirrhilabrus scottorum",1501400
"cirrhilabrus solorensis",2389100
"cirrhilabrus temminckii",3756600
"cirrhimuraena playfairii",3929700
"cirrhipathes spiralis",15226900
"cirrhitichthys aprinus",5062100
"cirrhitichthys aureus",2447300
"cirrhitichthys calliurus",742900
"cirrhitichthys falco",4281500
"cirrhitichthys guichenoti",1824500
"cirrhitichthys oxycephalus",5470400
"cirrhitops fasciatus",295800
"cirrhitops hubbardi",1970100
"cirrhitus pinnulatus",4201600
"cirrhitus rivulatus",248800
"cirriemblemaria lucasana",111200
"cirripectes alboapicalis",164600
"cirripectes alleni",151000
"cirripectes auritus",3837600
"cirripectes castaneus",4534200
"cirripectes chelomatus",503300
"cirripectes filamentosus",4118900
"cirripectes fuscoguttatus",921500
"cirripectes gilberti",702000
"cirripectes hutchinsi",81500
"cirripectes imitator",59700
"cirripectes perustus",3338900
"cirripectes polyzona",4181600
"cirripectes quagga",2668100
"cirripectes springeri",814400
"cirripectes stigmaticus",3157500
"cirripectes vanderbilti",30500
"cirripectes variolosus",1658500
"cirrisalarias bunares",2799200
"cirroteuthis muelleri",5902600
"cirsotrema dalli",1590800
"cirsotrema varicosum",5076200
"cistopus indicus",4966800
"citharichthys arctifrons",552300
"citharichthys cornutus",2786500
"citharichthys dinoceros",2990600
"citharichthys fragilis",206900
"citharichthys gilberti",252900
"citharichthys gymnorhinus",960600
"citharichthys macrops",888800
"citharichthys mariajorisae",215200
"citharichthys platophrys",298300
"citharichthys sordidus",649100
"citharichthys spilopterus",1692800
"citharichthys stampflii",305500
"citharichthys stigmaeus",823300
"citharichthys xanthostigma",241700
"citharoides macrolepidotus",2811600
"citharoides macrolepis",379400
"citharus linguatula",1456300
"cittarium pica",646000
"cladocarpus dolichotheca",3815800
"cladocarpus flexilis",768400
"cladocarpus obliquus",3088300
"cladocarpus paradiseus",2964700
"cladocarpus sigma",6465900
"cladocarpus tenuis",3580700
"cladocora arbuscula",1257200
"cladocora caespitosa",424300
"cladocora debilis",4370900
"cladolabes aciculus",3118400
"cladonema radiatum",6122400
"cladophora herpestica",5676800
"cladophora laetevirens",2949700
"cladophoropsis membranacea",1734500
"cladophoropsis vaucheriaeformis",3160900
"cladopsammia manuelensis",2716300
"cladorhiza abyssicola",3030000
"cladorhiza gelida",2798800
"clanculus atropurpureus",2575900
"clanculus bronni",2338800
"clanculus clanguloides",2480400
"clanculus denticulatus",5155100
"clanculus margaritarius",3487900
"clanculus pharaonius",1518000
"clanculus stigmatarius",944900
"clanculus tonnerrei",420000
"clarkcomanthus alternans",4706500
"clarkcomanthus comanthipinna",1956900
"clarkcomanthus exilis",1199400
"clarkcomanthus littoralis",3817500
"clarkcomanthus luteofuscum",2070200
"clarkichthys bilineatus",350100
"clathria abietina",5131900
"clathria aceratoobtusa",6138700
"clathria armata",1564100
"clathria basilana",4922100
"clathria cervicornis",2749700
"clathria eccentrica",4303100
"clathria echinata",946300
"clathria hirsuta",1173200
"clathria kylista",281800
"clathria lendenfeldi",5712500
"clathria procera",3986700
"clathria prolifera",1669200
"clathria reinwardti",6683500
"clathria rugosa",60100
"clathria schoenus",1016100
"clathria spinosa",676500
"clathria toxifera",3922300
"clathria tuberosa",3660900
"clathria venosa",1134400
"clathria virgultosa",930500
"clathria vulpina",4749900
"clathrina clathrus",155100
"clathrina coriacea",1851800
"clathrodrillia albicoma",2738900
"clausinella fasciata",626900
"clausocalanus arcuicornis",4441200
"clausocalanus furcatus",4402600
"clausocalanus ingens",522700
"clausocalanus lividus",264300
"clausocalanus paululus",2514900
"clausocalanus pergens",2004100
"clavelina cylindrica",423400
"clavelina fecunda",5061900
"clavelina huntsmani",426500
"clavelina lepadiformis",668100
"clavelina meridionalis",2047800
"clavelina moluccensis",5448900
"clavelina oblonga",942900
"clavelina oliva",4031800
"clavelina picta",777800
"clavelina robusta",3806800
"claviscopulia facunda",1288500
"clavularia crassa",389700
"clavus bilineatus",1830100
"clavus canalicularis",2048500
"clavus exasperatus",1543300
"clavus lamberti",3322000
"clavus pica",2331300
"clavus unizonalis",1561500
"cleantioides planicauda",1292000
"cleidochasma porcellanum",1293000
"cleidopus gloriamaris",1082900
"cleippides quadricuspis",3611800
"cleisthenes herzensteini",309400
"cleisthenes pinetorum",354000
"clementia papyracea",7002700
"cleotrivia antillarum",2284800
"cleotrivia candidula",2553000
"clepticus brasiliensis",283400
"clepticus parrae",905300
"clevelandia ios",203500
"clibanarius corallinus",3202400
"clibanarius eurysternus",4011700
"clibanarius humilis",4066400
"clibanarius longitarsus",4781000
"clibanarius merguiensis",4034000
"clibanarius padavensis",4745600
"clibanarius ransoni",3138600
"clibanarius sclopetarius",2383700
"clibanarius signatus",604100
"clibanarius striolatus",4417000
"clibanarius taeniatus",1798200
"clibanarius virescens",4333600
"clibanarius vittatus",1465100
"clidoderma asperrimum",2480500
"clinitrachus argentatus",544000
"clinocardium blandum",366900
"clinocardium californiense",1340900
"clinocardium ciliatum",5515000
"clinocardium nuttallii",766800
"clinocottus acuticeps",621200
"clinocottus analis",150400
"clinocottus embryum",955300
"clinocottus globiceps",250300
"clinus acuminatus",60000
"clinus agilis",53300
"clinus cottoides",33700
"clinus heterodon",55700
"clinus robustus",29100
"clinus superciliosus",59300
"clinus venustris",31700
"clinus woodi",107600
"clio cuspidata",12379900
"clio polita",2108400
"clio pyramidata",38841100
"clio recurva",13747600
"clio sulcata",128000
"cliona aprica",981300
"cliona arenosa",1168300
"cliona californiana",392000
"cliona caribbaea",1380800
"cliona celata",2880800
"cliona chilensis",299800
"cliona delitrix",899700
"cliona ensifera",3315600
"cliona lobata",9956000
"cliona mucronata",4018300
"cliona orientalis",5088500
"cliona patera",3559800
"cliona schmidti",2713800
"cliona varians",5490100
"cliona viridis",2328100
"clione limacina",12755700
"cliopsis krohnii",9358000
"cliothosa aurivillii",2030900
"cliothosa hancocki",3750400
"cliothosa quadrata",3110800
"clistocoeloma merguiense",4405100
"clithon chlorostomus",3326700
"clithon oualaniensis",3642500
"clivipollia fragaria",673500
"clivipollia pulcher",1814300
"cloeosiphon aspergillus",4791400
"clorida albolitura",5436900
"clorida daviei",492300
"clorida decorata",933600
"clorida obtusa",1009200
"clorida seversi",720200
"cloridina chlorida",2386300
"cloridina moluccensis",1435700
"cloridina pelamidae",2366800
"cloridina verrucosa",5862400
"cloridopsis dubia",1395800
"clupanodon thrissa",590900
"clupea harengus",3813600
"clupea pallasii pallasii",3179300
"clypeaster chesheri",1401300
"clypeaster euclastus",2396100
"clypeaster europacificus",334000
"clypeaster humilis",5464300
"clypeaster latissimus",2011300
"clypeaster ochrus",202700
"clypeaster prostratus",1274900
"clypeaster ravenelii",1219300
"clypeaster reticulatus",3643500
"clypeaster rosaceus",1413000
"clypeaster rotundus",459900
"clypeaster speciosus",88400
"clypeaster subdepressus",2378800
"clypeaster virescens",8440300
"clypeasterophilus juvenilis",1291400
"clypeomorus batillariaeformis",4495600
"clypeomorus bifasciata",4873600
"clypeomorus bifasciatus",2714900
"clypeomorus brevis",1362300
"clypeomorus moniliferus",2549900
"clypeomorus pellucida",2463900
"clypeomorus purpurastoma",2729500
"clypeosectus curvus",174200
"clypeosectus delectus",2322200
"clytemnestra rostrata",839000
"clytemnestra scutellata",8446900
"clythrocerus nitidus",2134800
"clytia discoida",4595900
"clytia folleata",8446000
"clytia gracilis",5337000
"clytia hemisphaerica",12981600
"clytia kincaidi",1438600
"clytia linearis",3684200
"clytia mccradyi",4155400
"clytia paulensis",9929300
"cnemidocarpa barbata",9461400
"cnemidocarpa bathyphila",53280200
"cnemidocarpa bythia",96988300
"cnemidocarpa devia",3258100
"cnemidocarpa digonas",9042500
"cnemidocarpa drygalskii",9991500
"cnemidocarpa finmarkiensis",603200
"cnemidocarpa floccosa",1407100
"cnemidocarpa intestinata",1315500
"cnemidocarpa irene",10041100
"cnemidocarpa nordenskjoldi",3322100
"cnemidocarpa ohlini",1012200
"cnemidocarpa pedata",4804500
"cnemidocarpa pfefferi",2151400
"cnemidocarpa platybranchia",48709700
"cnemidocarpa sericata",15773400
"cnemidocarpa verrucosa",4011400
"cnidoglanis macrocephalus",283900
"coccorella atlantica",207023600
"coccorella atrata",75673900
"coccotropsis gymnoderma",25400
"cocculina messingi",615500
"cocculina rathbuni",2015200
"cochleoceps orientalis",18500
"cochlespira elegans",2734100
"cochlespira elongata",122000
"cochlespira radiata",2721900
"cochliolepis parasitica",1126800
"cochliolepis striata",641400
"cociella crocodilus",10612300
"cociella heemstrai",526200
"cociella hutchinsi",1227600
"cociella punctata",8199900
"cocotropus larvatus",3493000
"codakia interrupta",4351800
"codakia orbicularis",226400
"codakia orbiculata",1387000
"codakia paytenorum",2995300
"codakia punctata",4630300
"codakia tigerina",5128500
"codium arabicum",5427000
"codium bartlettii",4457800
"codium bursa",1118000
"codium decorticatum",1057500
"codium edule",2496300
"codium geppiorum",230400
"codium intertextum",1052000
"codium isthmocladum",1254000
"codium spongiosum",320500
"codium taylorii",1071300
"coecella chinensis",209200
"coelocarteria singaporensis",7617800
"coelocerus spinosus",500800
"coelophrys micropa",9401500
"coelopleurus floridanus",3118200
"coelorinchus acanthiger",1740400
"coelorinchus acutirostris",2216300
"coelorinchus amydrozosterus",1462600
"coelorinchus argentatus",2017300
"coelorinchus argus",1761700
"coelorinchus aspercephalus",333800
"coelorinchus australis",124000
"coelorinchus biclinozonalis",412700
"coelorinchus bollonsi",564300
"coelorinchus braueri",778400
"coelorinchus caelorhincus",2990200
"coelorinchus canus",217800
"coelorinchus caribbaeus",1985200
"coelorinchus celaenostomus",132600
"coelorinchus charius",52100
"coelorinchus chilensis",163600
"coelorinchus commutabilis",1913900
"coelorinchus cookianus",577800
"coelorinchus denticulatus",876600
"coelorinchus fasciatus",3099100
"coelorinchus formosanus",743600
"coelorinchus geronimo",469700
"coelorinchus gilberti",467400
"coelorinchus gormani",663100
"coelorinchus hoangi",601500
"coelorinchus innotabilis",1549000
"coelorinchus kaiyomaru",1031000
"coelorinchus kamoharai",397900
"coelorinchus karrerae",321200
"coelorinchus kermadecus",2411300
"coelorinchus kishinouyei",466100
"coelorinchus labiatus",853500
"coelorinchus macrochir",359900
"coelorinchus macrorhynchus",2470200
"coelorinchus maculatus",709800
"coelorinchus marinii",431600
"coelorinchus matamua",907500
"coelorinchus maurofasciatus",846600
"coelorinchus mirus",1015000
"coelorinchus mycterismus",498000
"coelorinchus occa",2018600
"coelorinchus oliverianus",872400
"coelorinchus parvifasciatus",797000
"coelorinchus polli",447400
"coelorinchus quincunciatus",1045500
"coelorinchus scaphopsis",238800
"coelorinchus sereti",674200
"coelorinchus simorhynchus",419600
"coelorinchus smithi",5028600
"coelorinchus spathulatus",1432900
"coelorinchus supernasutus",58600
"coelorinchus trachycarus",2425100
"coelorinchus trunovi",218200
"coelorinchus ventrilux",509600
"coeloseris mayeri",4488200
"coelosphaera navicelligera",2637100
"coelothrix irregularis",1941700
"coenobita brevimanus",286700
"coenobita cavipes",2385000
"coenobita clypeatus",1549100
"coenobita perlatus",1579500
"coenobita rugosus",3475400
"coenobita scaevola",1016100
"coenobita variabilis",2771800
"coenobita violascens",3301700
"coenocyathus anthophyllites",994800
"coenocyathus bowersi",675900
"coenocyathus caribbeana",759700
"coenocyathus cylindricus",1152200
"coenocyathus parvulus",2474100
"coenosmilia arbuscula",9658700
"coilia dussumieri",1709900
"coilia grayii",496400
"coilia nasus",708700
"coilia neglecta",1795500
"colangia immersa",1818200
"colina macrostoma",2089500
"colistium guntheri",151100
"colistium nudipinnis",163400
"colletteichthys dussumieri",1695100
"collichthys lucidus",1644000
"collisella digitalis",268400
"collodes leptocheles",1415700
"collodes robustus",2349800
"collodes trispinosus",1654500
"colobometra perspinosa",4256600
"colobonema sericeum",12771100
"colochirus crassus",1219900
"coloconger cadenati",251600
"coloconger meadi",1692900
"coloconger raniceps",3835300
"coloconger scholesi",5336000
"cololabis adocetus",42367100
"cololabis saira",18328400
"colomastix bousfieldi",1297400
"colomastix camura",1099700
"colomastix falcirama",896000
"colomastix fissilingua",1108900
"colomastix gibbosa",206500
"colomastix halichondriae",1599400
"colomastix heardi",741000
"colomastix janiceae",855100
"colomastix lunalilo",1498100
"colomastix tridentata",1158600
"colomesus psittacus",598700
"colossendeis angusta",11221900
"colossendeis arcuata",10486400
"colossendeis australis",8265200
"colossendeis clavata",3684400
"colossendeis colossea",46040000
"colossendeis cucurbita",16436300
"colossendeis drakei",5855200
"colossendeis hoeki",5088800
"colossendeis korotkevitschi",265000
"colossendeis leptorhynchus",13280500
"colossendeis longirostris",13973800
"colossendeis macerrima",133517400
"colossendeis media",32987700
"colossendeis megalonyx",13457100
"colossendeis minor",25339200
"colossendeis minuta",205900
"colossendeis pipetta",404100
"colossendeis proboscidea",3453900
"colossendeis robusta",5653600
"colossendeis scoresbii",1379000
"colossendeis scotti",688100
"colossendeis sinuosa",12577900
"colossendeis tortipalpis",10037700
"colossendeis wilsoni",2163600
"colpodaspis thompsoni",3275600
"colpomenia sinuosa",2691300
"colpophyllia natans",703800
"colpospirella algida",548100
"colubraria castanea",2034200
"colubraria muricata",5108900
"colubraria nitidula",2262500
"colubraria testacea",2366500
"colubraria tortuosa",2779500
"columbella mercatoria",1327500
"columbella rusticoides",247300
"columbellopsis nycteis",357300
"colus gracilis",1502500
"colus holboelli",3062800
"colus islandicus",3868900
"colus pubescens",466000
"colus pygmaeus",409500
"colus sabini",5870200
"comactinia echinoptera",2693800
"comanthina schlegeli",7284200
"comanthus briareus",3680200
