"sciname","total_hab_area"
"Caprimulgus europaeus",10542700
"Caprimulgus eximius",1133100
"Caprimulgus fossii",3267000
"Caprimulgus fraenatus",377300
"Caprimulgus indicus",1291400
"Caprimulgus inornatus",4985600
"Caprimulgus jotaka",8361500
"Caprimulgus longipennis",5535800
"Caprimulgus macrurus",5835200
"Caprimulgus madagascariensis",420600
"Caprimulgus manillensis",146400
"Caprimulgus meesi",13200
"Caprimulgus nubicus",418900
"Caprimulgus pectoralis",5146200
"Caprimulgus phalaena",400
"Caprimulgus poliocephalus",214900
"Caprimulgus prigoginei",700
"Caprimulgus pulchellus",12800
"Caprimulgus ruficollis",247100
"Caprimulgus rufigena",2203500
"Caprimulgus stellatus",35100
"Caprimulgus tristigma",1826900
"Caprimulgus vexillarius",3176100
"Capsiempis flaveola",3520600
"Caracara cheriway",1244000
"Caracara plancus",3047300
"Cardellina canadensis",2728400
"Cardellina pusilla",8505900
"Cardellina rubra",40800
"Cardellina rubrifrons",124900
"Cardellina versicolor",9300
"Cardinalis cardinalis",3063600
"Cardinalis phoeniceus",40800
"Cardinalis sinuatus",699400
"Carduelis caniceps",3286500
"Carduelis carduelis",13458700
"Carduelis citrinella",53800
"Carduelis corsicana",3700
"Cariama cristata",4513100
"Caridonax fulgidus",20900
"Carpococcyx radiceus",145200
"Carpococcyx renauldi",226400
"Carpococcyx viridis",14400
"Carpodacus dubius",476300
"Carpodacus edwardsii",135900
"Carpodacus erythrinus",343100
"Carpodacus formosanus",1900
"Carpodacus puniceus",1979900
"Carpodacus rhodochlamys",391900
"Carpodacus roborowskii",23200
"Carpodacus rodochroa",129000
"Carpodacus rodopeplus",22300
"Carpodacus roseus",4166800
"Carpodacus rubicilla",2080500
"Carpodacus rubicilloides",756200
"Carpodacus sillemi",6100
"Carpodacus sipahi",210000
"Carpodacus stoliczkae",392800
"Carpodacus subhimachalus",305900
"Carpodacus synoicus",300
"Carpodacus thura",86500
"Carpodacus trifasciatus",157900
"Carpodacus verreauxii",102300
"Carpodacus vinaceus",47900
"Carpodacus waltoni",445300
"Carpodectes antoniae",2700
"Carpodectes hopkei",80500
"Carpodectes nitidus",44800
"Carpornis cucullata",68800
"Carpornis melanocephala",27100
"Carpospiza brachydactyla",1332100
"Carterornis castus",3400
"Carterornis chrysomela",583300
"Carterornis leucotis",191400
"Carterornis pileatus",18200
"Caryothraustes canadensis",1993900
"Caryothraustes celaeno",35600
"Caryothraustes erythromelas",1060400
"Caryothraustes poliogaster",149500
"Casiornis fuscus",946900
"Casiornis rufus",4876100
"Cassiculus melanicterus",103800
"Castanozoster thoracicus",23800
"Casuarius bennetti",352200
"Casuarius casuarius",345100
"Casuarius unappendiculatus",163700
"Catamblyrhynchus diadema",63500
"Catamenia analis",214800
"Catamenia homochroa",87800
"Catamenia inornata",170200
"Cataponera turdoides",17400
"Catharopeza bishopi",200
"Cathartes aura",18353500
"Cathartes burrovianus",7047800
"Cathartes melambrotus",5474600
"Catharus aurantiirostris",419100
"Catharus bicknelli",23400
"Catharus dryas",39000
"Catharus frantzii",88800
"Catharus fuscater",152600
"Catharus fuscescens",3133700
"Catharus gracilirostris",3400
"Catharus guttatus",5093600
"Catharus maculatus",185000
"Catharus mexicanus",57900
"Catharus minimus",3538500
"Catharus occidentalis",108700
"Catharus swainsoni",5032100
"Catharus ustulatus",881700
"Catherpes mexicanus",1477300
"Catreus wallichii",42800
"Catriscus brevirostris",267400
"Ceblepyris caesius",264900
"Ceblepyris cinereus",121400
"Ceblepyris cucullatus",100
"Ceblepyris graueri",14000
"Ceblepyris pectoralis",4792000
"Cecropis abyssinica",13163200
"Cecropis cucullata",1426400
"Cecropis daurica",11734300
"Cecropis hyperythra",40000
"Cecropis semirufa",5198100
"Cecropis senegalensis",12703600
"Celebesica abbotti",26400
"Celeus castaneus",186000
"Celeus elegans",5408200
"Celeus flavescens",1912100
"Celeus flavus",4688900
"Celeus galeatus",95500
"Celeus loricatus",168700
"Celeus lugubris",710900
"Celeus obrieni",521500
"Celeus occidentalis",3432000
"Celeus ochraceus",1326800
"Celeus spectabilis",303500
"Celeus tinnunculus",29600
"Celeus torquatus",971300
"Celeus undatus",3618600
"Centrocercus minimus",1200
"Centrocercus urophasianus",197000
"Centropus andamanensis",5400
"Centropus anselli",930400
"Centropus ateralbus",35500
"Centropus bengalensis",1165300
"Centropus bernsteini",20200
"Centropus celebensis",93900
"Centropus chalybeus",2700
"Centropus chlororhynchos",3400
"Centropus cupreicaudus",26700
"Centropus goliath",11200
"Centropus grillii",195100
"Centropus leucogaster",810900
"Centropus melanops",45700
"Centropus menbeki",537200
"Centropus milo",9200
"Centropus monachus",2406400
"Centropus nigrorufus",9000
"Centropus phasianinus",1083800
"Centropus rectunguis",793600
"Centropus senegalensis",9461800
"Centropus sinensis",3535400
"Centropus spilopterus",1200
"Centropus steerii",1700
"Centropus superciliosus",3980500
"Centropus toulou",103500
"Centropus unirufus",42800
"Centropus violaceus",30700
"Centropus viridis",46400
"Cephalopterus glabricollis",16100
"Cephalopterus ornatus",4476400
"Cephalopterus penduliger",35300
"Cephalopyrus flammiceps",288500
"Ceratogymna atrata",1822000
"Ceratogymna elata",294400
"Ceratopipra chloromeros",364200
"Ceratopipra cornuta",118200
"Ceratopipra erythrocephala",2857500
"Ceratopipra mentalis",282400
"Ceratopipra rubrocapilla",2544400
"Cercibis oxycerca",96500
"Cercococcyx lemaireae",226500
"Cercococcyx mechowi",1119900
"Cercococcyx montanus",567100
"Cercococcyx olivinus",1427500
"Cercomacra brasiliana",17000
"Cercomacra cinerascens",5506000
"Cercomacra ferdinandi",52100
"Cercomacra manu",404100
"Cercomacra melanaria",356200
"Cercomacra nigricans",243000
"Cercomacroides fuscicauda",983000
"Cercomacroides laeta",317900
"Cercomacroides nigrescens",2286600
"Cercomacroides parkeri",16000
"Cercomacroides serva",1273000
"Cercomacroides tyrannina",2599400
"Cercotrichas galactotes",5640700
"Cercotrichas hartlaubi",234100
"Cercotrichas leucophrys",7076100
"Cercotrichas paena",1058000
"Cercotrichas podobe",2343500
"Certhia americana",411800
"Certhia brachydactyla",2697100
"Certhia discolor",52200
"Certhia familiaris",5956500
"Certhia himalayana",500900
"Certhia hodgsoni",105400
"Certhia manipurensis",59500
"Certhia nipalensis",80800
"Certhia tianquanensis",4600
"Certhiasomus stictolaemus",2924400
"Certhiaxis cinnamomeus",3047100
"Certhiaxis mustelinus",58900
"Certhidea fusca",400
"Certhidea olivacea",3200
"Certhilauda chuana",73100
"Certhilauda curvirostris",42900
"Certhilauda semitorquata",312600
"Certhilauda subcoronata",182200
"Certhionyx variegatus",4601400
"Cettia brunnifrons",875400
"Cettia castaneocoronata",1139500
"Cettia cetti",1959000
"Cettia major",529700
"Ceuthmochares aereus",3711500
"Ceuthmochares australis",982200
"Ceyx argentatus",55900
"Ceyx cajeli",7700
"Ceyx collectoris",4800
"Ceyx cyanopectus",43000
"Ceyx dispar",2200
"Ceyx erithaca",2044000
"Ceyx fallax",78800
"Ceyx flumenicola",18200
"Ceyx gentianus",2900
"Ceyx lepidus",43300
"Ceyx margarethae",90400
"Ceyx meeki",16300
"Ceyx melanurus",46500
"Ceyx mindanensis",28500
"Ceyx mulcatus",7600
"Ceyx nigrirostris",4700
"Ceyx nigromaxilla",9600
"Ceyx pusillus",698500
"Ceyx sacerdotis",34700
"Ceyx sangirensis",500
"Ceyx solitarius",636200
"Ceyx wallacii",4800
"Ceyx websteri",12000
"Chaetocercus astreans",3700
"Chaetocercus berlepschi",3500
"Chaetocercus bombus",69300
"Chaetocercus heliodor",39100
"Chaetocercus jourdanii",13600
"Chaetocercus mulsant",75800
"Chaetops aurantius",31900
"Chaetops frenatus",4000
"Chaetorhynchus papuensis",284500
"Chaetura andrei",38600
"Chaetura brachyura",5753000
"Chaetura chapmani",4101400
"Chaetura cinereiventris",4398500
"Chaetura egregia",1247100
"Chaetura fumosa",5200
"Chaetura martinica",3800
"Chaetura meridionalis",2151800
"Chaetura pelagica",5711000
"Chaetura spinicaudus",2492200
"Chaetura vauxi",944000
"Chalcites crassirostris",4300
"Chalcites lucidus",2325900
"Chalcites megarhynchus",133200
"Chalcites meyerii",126500
"Chalcites minutillus",2467100
"Chalcites osculans",2195400
"Chalcites ruficollis",41100
"Chalcomitra adelberti",476600
"Chalcomitra amethystina",2669300
"Chalcomitra balfouri",3200
"Chalcomitra fuliginosa",245200
"Chalcomitra hunteri",1243500
"Chalcomitra rubescens",2885100
"Chalcomitra senegalensis",7535000
"Chalcoparia singalensis",2229900
"Chalcophaps indica",3638000
"Chalcophaps longirostris",442000
"Chalcophaps stephani",696400
"Chalcopsitta atra",75600
"Chalcopsitta cardinalis",32200
"Chalcopsitta duivenbodei",49400
"Chalcopsitta scintillata",271800
"Chalcostigma herrani",31500
"Chalcostigma heteropogon",6500
"Chalcostigma olivaceum",47700
"Chalcostigma ruficeps",42000
"Chalcostigma stanleyi",35900
"Chamaea fasciata",55400
"Chamaepetes goudotii",177200
"Chamaepetes unicolor",8800
"Chamaetylas choloensis",4700
"Chamaetylas fuelleborni",46200
"Chamaetylas poliocephala",1053800
"Chamaetylas poliophrys",16100
"Chamaeza campanisona",723100
"Chamaeza meruloides",42600
"Chamaeza mollissima",44900
"Chamaeza nobilis",2404700
"Chamaeza ruficauda",82600
"Chamaeza turdina",9000
"Charadrius alticola",4200
"Charadrius forbesi",2581200
"Charadrius montanus",681500
"Charitospiza eucosma",1856500
"Charmosyna josefinae",54500
"Charmosyna margarethae",25600
"Charmosyna meeki",2000
"Charmosyna multistriata",14500
"Charmosyna palmarum",6900
"Charmosyna papou",3400
"Charmosyna placentis",704900
"Charmosyna pulchella",135500
"Charmosyna rubrigularis",3100
"Charmosyna rubronotata",213600
"Charmosyna stellae",81000
"Charmosyna toxopei",6300
"Charmosyna wilhelminae",92000
"Chasiempis ibidis",300
"Chasiempis sandwichensis",3500
"Chasiempis sclateri",200
"Chauna chavaria",10700
"Chauna torquata",1108700
"Chelictinia riocourii",3994900
"Chelidoptera tenebrosa",7661500
"Chelidorhynx hypoxanthus",965600
"Chenonetta jubata",1308800
"Chenorhamphus grayi",173500
"Cheramoeca leucosterna",4053400
"Chersomanes albofasciata",1086900
"Chersophilus duponti",49300
"Chionodacryon speculiferum",120100
"Chionomesa bartletti",793000
"Chionomesa fimbriata",9434600
"Chionomesa lactea",482100
"Chiroxiphia boliviana",48600
"Chiroxiphia caudata",337700
"Chiroxiphia lanceolata",126300
"Chiroxiphia linearis",24500
"Chiroxiphia pareola",3948000
"Chlamydera cerviniventris",142900
"Chlamydera guttata",680700
"Chlamydera lauterbachi",119500
"Chlamydera maculata",1099600
"Chlamydera nuchalis",1272400
"Chlamydochaera jefferyi",44800
"Chlamydotis macqueenii",7194900
"Chlamydotis undulata",3348500
"Chloebia gouldiae",86000
"Chloephaga melanoptera",4400
"Chloephaga picta",514600
"Chloephaga rubidiceps",60000
"Chlorestes candida",225000
"Chlorestes cyanus",2167600
"Chlorestes eliciae",120700
"Chlorestes julie",115900
"Chlorestes notata",4281300
"Chloris ambigua",415900
"Chloris chloris",8425200
"Chloris monguilloti",3800
"Chloris sinica",4070400
"Chloris spinoides",173100
"Chloroceryle inda",5801700
"Chlorochrysa calliparaea",57300
"Chlorochrysa fulgentissima",29200
"Chlorochrysa nitidissima",5100
"Chlorocichla falkensteini",958300
"Chlorocichla flaviventris",3458400
"Chlorocichla laetissima",64400
"Chlorocichla prigoginei",700
"Chlorocichla simplex",3777700
"Chlorodrepanis flava",700
"Chlorodrepanis stejnegeri",200
"Chlorodrepanis virens",3500
"Chlorophanes spiza",6207100
"Chlorophoneus bocagei",724600
"Chlorophoneus kupeensis",700
"Chlorophoneus multicolor",1025900
"Chlorophoneus nigrifrons",247200
"Chlorophoneus olivaceus",162900
"Chlorophoneus sulfureopectus",7131400
"Chlorophonia callophrys",10700
"Chlorophonia cyanea",1083900
"Chlorophonia flavirostris",16300
"Chlorophonia occipitalis",73000
"Chlorophonia pyrrhophrys",37000
"Chloropicoides rafflesii",644300
"Chloropipo flavicapilla",14600
"Chloropipo unicolor",33000
"Chloropsis aurifrons",2662700
"Chloropsis cochinchinensis",43900
"Chloropsis cyanopogon",738800
"Chloropsis flavipennis",40800
"Chloropsis hardwickii",549200
"Chloropsis jerdoni",1556600
"Chloropsis kinabaluensis",36200
"Chloropsis lazulina",317000
"Chloropsis media",18200
"Chloropsis moluccensis",2072400
"Chloropsis palawanensis",7400
"Chloropsis sonnerati",878100
"Chloropsis venusta",48600
"Chlorornis riefferii",62700
"Chlorospingus canigularis",73100
"Chlorospingus flavigularis",101100
"Chlorospingus hypophaeus",3100
"Chlorospingus inornatus",500
"Chlorospingus parvirostris",29200
"Chlorospingus pileatus",3100
"Chlorospingus semifuscus",9600
"Chlorospingus tacarcunae",400
"Chlorostilbon assimilis",17900
"Chlorostilbon gibsoni",115400
"Chlorostilbon lucidus",4596400
"Chlorostilbon mellisugus",242900
"Chlorostilbon russatus",10500
"Chlorostilbon stenurus",19000
"Chondestes grammacus",1479700
"Chondrohierax uncinatus",6372400
"Chondrohierax wilsonii",3600
"Chordeiles acutipennis",943300
"Chordeiles gundlachii",21300
"Chordeiles nacunda",3869200
"Chordeiles pusillus",2087300
"Chordeiles rupestris",66000
"Chrysococcyx caprius",15767300
"Chrysococcyx cupreus",9292200
"Chrysococcyx flavigularis",1798900
"Chrysococcyx klaas",11728500
"Chrysococcyx maculatus",1328200
"Chrysococcyx xanthorhynchus",2184500
"Chrysocolaptes erythrocephalus",12200
"Chrysocolaptes festivus",1125200
"Chrysocolaptes guttacristatus",1500700
"Chrysocolaptes haematribon",69100
"Chrysocolaptes lucidus",99900
"Chrysocolaptes stricklandi",45200
"Chrysocolaptes strictus",12200
"Chrysocolaptes validus",1161100
"Chrysocolaptes xanthocephalus",24600
"Chrysocorythus estherae",7700
"Chrysocorythus mindanensis",1000
"Chrysoena luteovirens",6900
"Chrysoena viridis",500
"Chrysolampis mosquitus",3598400
"Chrysolophus amherstiae",121900
"Chrysolophus pictus",408300
"Chrysominla strigula",548700
"Chrysomma altirostre",9700
"Chrysomma sinense",1686600
"Chrysomus icterocephalus",225000
"Chrysomus ruficapillus",933400
"Chrysophlegma flavinucha",1512900
"Chrysophlegma humii",663800
"Chrysophlegma mentale",10600
"Chrysophlegma miniaceum",1095700
"Chrysothlypis chrysomelas",9400
"Chrysothlypis salmoni",62700
"Chrysuronia brevirostris",465700
"Chrysuronia coeruleogularis",15100
"Chrysuronia goudoti",142200
"Chrysuronia grayi",13400
"Chrysuronia humboldtii",18300
"Chrysuronia leucogaster",216100
"Chrysuronia lilliae",1100
"Chrysuronia oenone",1092100
"Chrysuronia versicolor",3752600
"Chunga burmeisteri",284600
"Ciccaba albitarsis",131300
"Ciccaba huhula",5819200
"Ciccaba nigrolineata",540600
"Ciccaba virgata",7182900
"Cichladusa arquata",2057200
"Cichladusa guttata",1163800
"Cichladusa ruficauda",642600
"Cichlocolaptes holti",74100
"Cichlocolaptes leucophrus",32700
"Cichlopsis chubbi",5600
"Cichlopsis gularis",61900
"Cichlopsis leucogenys",26300
"Cichlopsis peruviana",3700
"Cicinnurus magnificus",101600
"Cicinnurus regius",433900
"Cicinnurus respublica",3300
"Ciconia abdimii",10932800
"Ciconia ciconia",1578300
"Ciconia maguari",722900
"Ciconia nigra",472500
"Ciconia stormi",714900
"Cinclidium frontale",6000
"Cinclocerthia gutturalis",2000
"Cinclocerthia ruficauda",2800
"Cinclodes albidiventris",23600
"Cinclodes albiventris",404800
"Cinclodes aricomae",600
"Cinclodes atacamensis",575500
"Cinclodes comechingonus",2500
"Cinclodes excelsior",17000
"Cinclodes olrogi",2800
"Cinclodes oustaleti",277300
"Cinclodes pabsti",4300
"Cinclodes palliatus",1300
"Cinclodes patagonicus",22900
"Cincloramphus bivittatus",9900
"Cincloramphus cruralis",4491500
"Cincloramphus grosvenori",700
"Cincloramphus llaneae",100
"Cincloramphus macrurus",50600
"Cincloramphus mariae",13800
"Cincloramphus mathewsi",5763300
"Cincloramphus rubiginosus",30400
"Cincloramphus rufus",5000
"Cincloramphus turipavae",300
"Cincloramphus whitneyi",700
"Cinclosoma ajax",65100
"Cinclosoma alisteri",66500
"Cinclosoma castaneothorax",280100
"Cinclosoma castanotum",1100500
"Cinclosoma cinnamomeum",707900
"Cinclosoma marginatum",701100
"Cinclosoma punctatum",297400
"Cinclus cinclus",739500
"Cinclus leucocephalus",4500
"Cinclus mexicanus",23900
"Cinclus pallasii",156900
"Cinclus schulzii",12500
"Cinnycerthia fulva",43900
"Cinnycerthia olivascens",38100
"Cinnycerthia peruana",31800
"Cinnycerthia unirufa",37400
"Cinnyricinclus leucogaster",10418500
"Cinnyris afer",302300
"Cinnyris asiaticus",4352500
"Cinnyris batesi",711500
"Cinnyris bifasciatus",1918400
"Cinnyris bouvieri",338900
"Cinnyris buettikoferi",3600
"Cinnyris chalcomelas",47700
"Cinnyris chalybeus",111500
"Cinnyris chloropygius",4209400
"Cinnyris coccinigastrus",1702100
"Cinnyris comorensis",200
"Cinnyris congensis",121600
"Cinnyris coquerellii",300
"Cinnyris cupreus",7648200
"Cinnyris erythrocercus",259600
"Cinnyris fuelleborni",90500
"Cinnyris fuscus",807700
"Cinnyris gertrudis",369100
"Cinnyris habessinicus",313300
"Cinnyris hellmayri",155300
"Cinnyris humbloti",1000
"Cinnyris idenburgi",137400
"Cinnyris johannae",1388400
"Cinnyris jugularis",4553100
"Cinnyris lotenius",220600
"Cinnyris loveridgei",100
"Cinnyris ludovicensis",63700
"Cinnyris manoensis",297500
"Cinnyris mariquensis",2150500
"Cinnyris mediocris",65300
"Cinnyris minullus",1148500
"Cinnyris moebii",700
"Cinnyris moreaui",4000
"Cinnyris nectarinioides",226900
"Cinnyris neergaardi",103200
"Cinnyris notatus",99400
"Cinnyris osea",255800
"Cinnyris oustaleti",116500
"Cinnyris pembae",1000
"Cinnyris prigoginei",1200
"Cinnyris regius",15000
"Cinnyris reichenowi",188800
"Cinnyris rockefelleri",5100
"Cinnyris rufipennis",4400
"Cinnyris solaris",35400
"Cinnyris sovimanga",130800
"Cinnyris stuhlmanni",6500
"Cinnyris superbus",2677400
"Cinnyris talatala",1850200
"Cinnyris tsavoensis",115800
"Cinnyris ursulae",6500
"Cinnyris usambaricus",3400
"Cinnyris venustus",5755700
"Cinnyris voeltzkowi",200
"Circaetus beaudouini",2763100
"Circaetus cinerascens",4816800
"Circaetus cinereus",9560100
"Circaetus fasciolatus",162700
"Circaetus gallicus",10930300
"Circaetus pectoralis",7232500
"Circus aeruginosus",12029800
"Circus assimilis",4545900
"Circus buffoni",1458600
"Circus cinereus",2051600
"Circus cyaneus",21111700
"Circus hudsonius",12194900
"Circus macrourus",19496500
"Circus maillardi",1500
"Circus maurus",973500
"Circus melanoleucos",2423600
"Circus pygargus",8728200
"Circus ranivorus",1249800
"Cissa chinensis",1414200
"Cissa hypoleuca",278000
"Cissa jefferyi",76000
"Cissa thalassina",6400
"Cissomela pectoralis",1081800
"Cissopis leverianus",3683200
"Cisticola aberdare",900
"Cisticola aberrans",2016800
"Cisticola angusticauda",397100
"Cisticola anonymus",2024700
"Cisticola aridulus",3315500
"Cisticola ayresii",197500
"Cisticola bailunduensis",55400
"Cisticola bodessa",345000
"Cisticola brachypterus",7252900
"Cisticola brunnescens",94600
"Cisticola bulliens",279100
"Cisticola cantans",4495200
"Cisticola carruthersi",53600
"Cisticola cherina",583500
"Cisticola chiniana",4657800
"Cisticola chubbi",213300
"Cisticola cinereolus",341000
"Cisticola cinnamomeus",612400
"Cisticola dambo",13900
"Cisticola erythrops",529300
"Cisticola exilis",2701700
"Cisticola eximius",9900
"Cisticola fulvicapilla",4132000
"Cisticola galactotes",52300
"Cisticola guinea",550100
"Cisticola haematocephalus",173200
"Cisticola hunteri",39900
"Cisticola lais",382700
"Cisticola lateralis",1453900
"Cisticola luapula",16600
"Cisticola lugubris",27600
"Cisticola marginatus",3307100
"Cisticola melanurus",247500
"Cisticola nana",612500
"Cisticola natalensis",7625000
"Cisticola nigriloris",32200
"Cisticola njombe",7900
"Cisticola pipiens",35300
"Cisticola robustus",392500
"Cisticola ruficeps",960500
"Cisticola rufilatus",2595500
"Cisticola rufus",506600
"Cisticola subruficapilla",134800
"Cisticola tinniens",729000
"Cisticola troglodytes",990600
"Cisticola woosnami",747900
"Cistothorus apolinari",2300
"Cistothorus meridae",1600
"Cistothorus platensis",1825800
"Cistothorus stellaris",210100
"Cittura cyanotis",58500
"Cittura sanghirensis",700
"Clamator coromandus",5196400
"Clamator glandarius",6031700
"Clamator jacobinus",7865200
"Clamator levaillantii",12321300
"Clanga clanga",7675000
"Clanga hastata",1569500
"Clanga pomarina",6007000
"Claravis pretiosa",10792400
"Clibanornis dendrocolaptoides",107500
"Clibanornis erythrocephalus",11300
"Clibanornis rectirostris",183500
"Clibanornis rubiginosus",1815000
"Clibanornis rufipectus",2700
"Climacteris affinis",1276400
"Climacteris erythrops",186700
"Climacteris melanurus",934200
"Climacteris picumnus",1428600
"Climacteris rufus",264900
"Clytoctantes alixii",2200
"Clytoctantes atrogularis",9600
"Clytolaema rubricauda",45700
"Clytomyias insignis",44100
"Clytorhynchus hamlini",700
"Clytorhynchus pachycephaloides",16200
"Clytorhynchus sanctaecrucis",300
"Clytospiza monteiri",525400
"Cnemarchus erythropygius",61100
"Cnemathraupis aureodorsalis",1000
"Cnemathraupis eximia",11500
"Cnemophilus loriae",112900
"Cnemophilus macgregorii",6300
"Cnemophilus sanguineus",32800
"Cnemoscopus chrysogaster",11800
"Cnemoscopus rubrirostris",16600
"Cnemotriccus fuscatus",7206900
"Cnipodectes subbrunneus",1809700
"Cnipodectes superrufus",83500
"Coccopygia bocagei",29800
"Coccopygia melanotis",123600
"Coccopygia quartinia",77500
"Coccothraustes coccothraustes",5162000
"Coccycua cinerea",1915400
"Coccycua minuta",6512400
"Coccycua pumila",246500
"Coccyzus americanus",6241800
"Coccyzus bahamensis",3600
"Coccyzus erythropthalmus",3756700
"Coccyzus euleri",4479400
"Coccyzus lansbergi",96600
"Coccyzus longirostris",30100
"Coccyzus melacoryphus",8017800
"Coccyzus merlini",34100
"Coccyzus minor",455500
"Coccyzus pluvialis",7300
"Coccyzus rufigularis",1000
"Coccyzus vetula",7200
"Coccyzus vieilloti",5600
"Cochlearius cochlearius",7070600
"Cochoa azurea",2200
"Cochoa beccarii",33200
"Cochoa purpurea",242200
"Cochoa viridis",462500
"Coeligena albicaudata",14800
"Coeligena bonapartei",3000
"Coeligena coeligena",96300
"Coeligena conradii",7800
"Coeligena consita",600
"Coeligena dichroura",32300
"Coeligena eisenmanni",5400
"Coeligena eos",5400
"Coeligena helianthea",12600
"Coeligena inca",23700
"Coeligena iris",23100
"Coeligena lutetiae",19300
"Coeligena orina",800
"Coeligena osculans",7500
"Coeligena phalerata",3100
"Coeligena prunellei",5800
"Coeligena torquata",83000
"Coeligena violifer",22700
"Coeligena wilsoni",15300
"Coereba flaveola",5556100
"Colaptes aeruginosus",77700
"Colaptes atriceps",27800
"Colaptes atricollis",20400
"Colaptes auratus",6175300
"Colaptes auricularis",70500
"Colaptes cafer",2906700
"Colaptes campestris",3270300
"Colaptes campestroides",1202100
"Colaptes chrysoides",272800
"Colaptes cinereicapillus",61900
"Colaptes fernandinae",8800
"Colaptes melanochloros",3710400
"Colaptes melanolaimus",1450500
"Colaptes mexicanoides",59300
"Colaptes pitius",46100
"Colaptes punctigula",2985900
"Colaptes rivolii",211200
"Colaptes rubiginosus",1670800
"Colaptes rupicola",427200
"Colibri coruscans",422700
"Colibri delphinae",840400
"Colibri serrirostris",1790600
"Colibri thalassinus",353300
"Colinus cristatus",859500
"Colinus leucopogon",89400
"Colinus nigrogularis",37000
"Colinus virginianus",3480500
"Colius castanotus",274600
"Colius colius",702500
"Colius leucocephalus",425900
"Colius striatus",7668200
"Collocalia esculenta",1944600
"Collocalia linchi",62700
"Collocalia troglodytes",118300
"Colluricincla boweri",12200
"Colluricincla harmonica",4775100
"Colluricincla megarhyncha",933500
"Colluricincla tenebrosa",21800
"Colluricincla woodwardi",93300
"Colonia colonus",3098000
"Colorhamphus parvirostris",134000
"Columba albinucha",30600
"Columba albitorques",122700
"Columba argentina",5200
"Columba arquatrix",224900
"Columba bollii",1200
"Columba delegorguei",136900
"Columba elphinstonii",47200
"Columba eversmanni",2445500
"Columba guinea",9618200
"Columba hodgsonii",456400
"Columba iriditorques",2058400
"Columba janthina",4300
"Columba junoniae",1500
"Columba leucomela",191800
"Columba leuconota",438100
"Columba livia",4939100
"Columba malherbii",1000
"Columba oenas",6032400
"Columba oliviae",13700
"Columba pallidiceps",45900
"Columba palumboides",5700
"Columba palumbus",8884400
"Columba pollenii",2000
"Columba pulchricollis",254400
"Columba punicea",268900
"Columba rupestris",1335300
"Columba sjostedti",7000
"Columba thomensis",400
"Columba torringtoniae",4100
"Columba trocaz",400
"Columba unicincta",2127400
"Columbina buckleyi",34700
"Columbina cruziana",37800
"Columbina cyanopis",500
"Columbina inca",947600
"Columbina minuta",3989600
"Columbina passerina",3660900
"Columbina picui",3241000
"Columbina squammata",3469100
"Columbina talpacoti",1866000
"Compsothraupis loricata",218000
"Conioptilon mcilhennyi",34600
"Conirostrum albifrons",54100
"Conirostrum binghami",9400
"Conirostrum cinereum",41200
"Conirostrum ferrugineiventre",14500
"Conirostrum fraseri",3400
"Conirostrum leucogenys",120400
"Conirostrum margaritae",58500
"Conirostrum rufum",10300
"Conirostrum sitticolor",51400
"Conirostrum tamarugense",5800
"Conopias albovittatus",141700
"Conopias cinchoneti",95100
"Conopias parvus",3599000
"Conopias trivirgatus",1134800
"Conopophaga ardesiaca",50100
"Conopophaga aurita",2607400
"Conopophaga castaneiceps",96500
"Conopophaga cearae",5700
"Conopophaga lineata",344700
"Conopophaga melanogaster",732700
"Conopophaga melanops",75000
"Conopophaga peruviana",1034000
"Conopophaga roberti",266200
"Conopophaga snethlageae",517000
"Conopophila albogularis",428100
"Conopophila rufogularis",1743300
"Conopophila whitei",608100
"Conothraupis mesoleuca",1500
"Conothraupis speculigera",404400
"Contopus albogularis",2200
"Contopus bogotensis",907700
"Contopus caribaeus",49000
"Contopus cinereus",998300
"Contopus cooperi",10998000
"Contopus fumigatus",395100
"Contopus hispaniolensis",17100
"Contopus latirostris",8100
"Contopus lugubris",5900
"Contopus nigrescens",66900
"Contopus ochraceus",2700
"Contopus pallidus",4200
"Contopus pertinax",299600
"Contopus punensis",57200
"Contopus sordidulus",4291100
"Contopus virens",5690500
"Copsychus albiventris",4600
"Copsychus albospecularis",55400
"Copsychus cebuensis",2900
"Copsychus fulicatus",631100
"Copsychus luzoniensis",34900
"Copsychus malabaricus",2389000
"Copsychus mindanensis",266600
"Copsychus niger",7900
"Copsychus pica",46500
"Copsychus pyrropygus",670400
"Copsychus saularis",7589900
"Copsychus superciliaris",4200
"Coracias abyssinicus",5383100
"Coracias affinis",2345100
"Coracias benghalensis",3240700
"Coracias caudatus",8377500
"Coracias cyanogaster",1607300
"Coracias garrulus",18711800
"Coracias naevius",6793600
"Coracias spatulatus",2095600
"Coracias temminckii",100900
"Coracina atriceps",35000
"Coracina bicolor",74900
"Coracina boyeri",532600
"Coracina caeruleogrisea",375800
"Coracina caledonica",17200
"Coracina dobsoni",4600
"Coracina fortis",6300
"Coracina javensis",1900000
"Coracina larvata",391500
"Coracina leucopygia",109600
"Coracina lineata",580700
"Coracina longicauda",88700
"Coracina macei",2084000
"Coracina maxima",5703400
"Coracina novaehollandiae",3874100
"Coracina panayensis",16700
"Coracina papuensis",3257300
"Coracina parvula",14900
"Coracina personata",79700
"Coracina schistacea",5200
"Coracina striata",1274800
